"","cluster","old.nd","new.nd","change.nd","old.seq","new.seq","change.seq","threshold","time","length"
"87","cluster.AY.22.msa.fasta",0.000448729083434659,0.00104166666666667,1.32137096774194,9,3,0.666666666666667,0.000939357306609422,0.00253105163574219,3840
"88","cluster.AY.23.1.msa.fasta",0.000521104742053153,0.000521104742053153,0,3,3,0,0.000703923787403916,0.00227689743041992,3840
"89","cluster.AY.23.2.msa.fasta",0.000815972222222222,0.00182291666666667,1.23404255319149,6,2,0.666666666666667,0.00164456010608883,0.00221800804138184,3840
"90","cluster.AY.23.msa.fasta",0.000618630234695417,0.0015625,1.52574140798226,20,2,0.9,0.00140896115588107,0.0035548210144043,3846
"91","cluster.AY.24.msa.fasta",0.000394218134034166,0.00104166666666667,1.64236111111111,12,2,0.833333333333333,0.000947427809132961,0.00231814384460449,3840
"92","cluster.AY.25.1.msa.fasta",0.000820412064381017,0.00546875,5.66585760672115,1135,2,0.998237885462555,0.00564006744167476,6.27329993247986,3864
"93","cluster.AY.25.2.msa.fasta",0.000347584289190129,0.000469238790406674,0.35,7,5,0.285714285714286,0.000469748345238645,0.00257301330566406,3846
"94","cluster.AY.25.3.msa.fasta",0.000560614353717802,0.00100746710916202,0.797076907647563,36,12,0.666666666666667,0.00117724379288353,0.00794458389282227,3852
"95","cluster.AY.25.msa.fasta",0.00063612915053299,0.00286458333333333,3.50314740478911,3044,2,0.99934296977661,0.00308820664007766,44.5348379611969,3891
"96","cluster.AY.26.msa.fasta",0.00139487231671732,0.484596426370918,346.412749226655,1400,2,0.998571428571429,0.845269262438813,24.8653173446655,4442
"97","cluster.AY.27.msa.fasta",0.000512832688335431,0.00130208333333333,1.5390022183642,11,2,0.818181818181818,0.00104566487139316,0.00292658805847168,3840
"98","cluster.AY.29.1.msa.fasta",0.00078125,0.00121527777777778,0.555555555555556,8,3,0.625,0.00117344213914923,0.00240015983581543,3840
"99","cluster.AY.29.2.msa.fasta",0.000347222222222222,0.000520833333333333,0.5,3,2,0.333333333333333,0.000469258584399942,0.00179243087768555,3840
"100","cluster.AY.29.msa.fasta",0.000659333013523559,0.00159040178571429,1.41213734652081,93,8,0.913978494623656,0.00141346737976902,0.029325008392334,3846
"101","cluster.AY.3.1.msa.fasta",0.00079220645540769,0.00338541666666667,3.27340201983641,336,2,0.994047619047619,0.00304246466534362,0.617372751235962,3858
"102","cluster.AY.3.3.msa.fasta",0.000538731919347355,0.00121559433880351,1.25639932431725,60,3,0.95,0.00131430928294336,0.0148277282714844,3852
